apk,category,violation_type,is_violation,config1,config2,aql_timer,ast_changes,bad_aql_runs_binary,bad_aql_runs_hdd,bad_compile_runs_binary,bad_compile_runs_hdd,binary_timer,compile_timer,end_line_count,good_aql_runs_binary,good_aql_runs_hdd,good_compile_runs_binary,good_compile_runs_hdd,hdd_timer,jdeps_timer,method_timer,program_timer,rejected_changes,setup_timer,start_line_count,time_bad_aql_runs_binary,time_bad_aql_runs_hdd,time_bad_compile_runs_binary,time_bad_compile_runs_hdd,time_good_aql_runs_binary,time_good_aql_runs_hdd,time_good_compile_runs_binary,time_good_compile_runs_hdd,total_rotations
Loop2,GeneralJava,TRUE,TRUE,9e71d1dbb7f99254dd5f81811f612f41,91964892620be59e2aad306477d20772,0,16,0,3,0,12,29,0,17,0,1,0,4,536,5,0,610,31,44,19,0,36,0,316,0,14,0,168,2
SimpleAliasing1,Aliasing,FALSE,TRUE,29ea37dd3fee251e76d512636d738ba3,9e71d1dbb7f99254dd5f81811f612f41,0,55,1,25,0,29,88,0,63,0,0,1,25,2622,5,0,2763,103,52,63,15,341,0,1254,0,0,25,1024,1
AsynchronousEventOrdering1,Lifecycle,TRUE,TRUE,cfd95fd0a60d05e28f68af32281dcb9d,42c84347476d849c5186279326650631,0,22,0,5,0,12,125,0,14,0,5,0,10,1079,5,0,1285,34,80,24,0,66,0,581,0,76,0,353,3
ActivityEventSequence1,Lifecycle,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,33,0,10,0,18,53,0,17,0,5,0,15,1156,4,0,1233,51,23,29,0,131,0,481,0,72,0,469,3
PrivateDataLeak1,AndroidSpecific,TRUE,TRUE,02675cd9b1d17506e0f0691c7dc5a3a9,c167cc6905f08070a40daaa496572761,0,93,2,22,0,62,603,0,63,2,5,4,27,7327,4,0,8034,142,101,74,20,356,0,4603,35,89,495,2276,2
IntentSink1,InterComponentCommunication,TRUE,TRUE,7c6eca5339bd43220f2e569aa96da0db,9e71d1dbb7f99254dd5f81811f612f41,0,18,0,4,0,12,75,0,15,0,2,0,6,1150,5,0,1321,31,95,18,0,60,0,712,0,36,0,340,2
PublicAPIField2,AndroidSpecific,TRUE,TRUE,7c6eca5339bd43220f2e569aa96da0db,9e71d1dbb7f99254dd5f81811f612f41,0,17,0,3,0,12,52,0,15,0,2,0,5,597,5,0,702,31,51,17,0,36,0,394,0,33,0,133,2
FieldSensitivity3,FieldAndObjectSensitivity,TRUE,TRUE,b113be2d9166c32182a638bbebda617a,c167cc6905f08070a40daaa496572761,0,56,1,5,0,42,253,0,25,2,6,3,11,2127,6,0,2458,86,77,35,10,68,0,1526,31,91,178,439,3
VoiceMail1,EmulatorDetection,TRUE,TRUE,c59167715f1aa44341707631a416c074,c428ab5f184d796b88866f07b6e2fa38,0,59,0,8,0,43,39,0,23,0,8,0,16,2467,5,0,2527,101,20,36,0,91,0,1526,0,116,0,732,3
Merge1,Aliasing,FALSE,TRUE,e5613aad75bc3bad53f848ba14482c54,ca56131a7c713fed2a7fb88ee3d7603c,0,64,1,24,0,39,60,0,70,0,0,1,24,2434,4,0,2549,115,54,70,15,342,0,1404,0,0,29,684,1
Button2,Callbacks,FALSE,TRUE,1ef9d1d10bc982ab49d3b8eaf4409c05,8591a3f81e4c6bf2034e389c3aacaff4,0,30,1,21,0,8,214,0,40,0,0,1,21,2624,5,0,2906,49,67,40,19,366,0,450,0,0,92,1805,1
