violation,file1,file2,execs1,execs2,uniq1,uniq2,presence_1minus2,presence_2minus1,frequency_1minus2_sum,frequency_2minus1_sum,frequency_1minus2_mean,frequency_2minus1_mean,frequency_1minus2_max,frequency_2minus1_max,frequency_1minus2_min,frequency_2minus1_min,frequency_1minus2_median,frequency_2minus1_median
FALSE,/home/austin/Desktop/default/FragmentLifecycle2-coverage.txt,/home/austin/Desktop/analyzeframeworks/FragmentLifecycle2_analyzeframeworks_-coverage.txt,11841203,11861292,13800,13689,132,21,4893,24982,21,20.95805369,394,861,1,1,1,10.5
FALSE,/home/austin/Desktop/default/HashMapAccess1-coverage.txt,/home/austin/Desktop/analyzeframeworks/HashMapAccess1_analyzeframeworks_-coverage.txt,12150795,11863802,14121,12317,1808,4,287095,102,81.39920612,4.857142857,11420,9,1,1,3,9
FALSE,/home/austin/Desktop/default/IMEI1-coverage.txt,/home/austin/Desktop/analyzeframeworks/IMEI1_analyzeframeworks_-coverage.txt,20447602,20250430,14319,13711,801,193,211630,14458,142.2244624,11.12153846,11555,336,1,1,6,6
TRUE,/home/austin/Desktop/default/ImplicitFlow1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ImplicitFlow1_analyzeframeworks_-coverage.txt,17025106,16085729,16231,14272,2012,53,955834,16457,238.6601748,17.23246073,18681,605,1,1,20,4
FALSE,/home/austin/Desktop/default/ImplicitFlow2-coverage.txt,/home/austin/Desktop/analyzeframeworks/ImplicitFlow2_analyzeframeworks_-coverage.txt,11873976,11521707,13990,13176,818,4,352343,74,161.6994034,3.894736842,10810,6,1,1,6,6
FALSE,/home/austin/Desktop/default/ImplicitFlow3-coverage.txt,/home/austin/Desktop/analyzeframeworks/ImplicitFlow3_analyzeframeworks_-coverage.txt,12432804,12203176,14742,13993,774,25,236964,7336,140.2153846,7.074252652,7266,211,1,1,12,4
FALSE,/home/austin/Desktop/default/ImplicitFlow4-coverage.txt,/home/austin/Desktop/analyzeframeworks/ImplicitFlow4_analyzeframeworks_-coverage.txt,12423410,12140334,15170,14366,829,25,292558,9482,125.8313978,9.425447316,10603,120,1,1,6,9
FALSE,/home/austin/Desktop/default/ImplicitFlow5-coverage.txt,/home/austin/Desktop/analyzeframeworks/ImplicitFlow5_analyzeframeworks_-coverage.txt,12115855,11833279,14578,13438,1179,39,290249,7673,121.3415552,9.027058824,10331,221,1,1,12,6
FALSE,/home/austin/Desktop/default/ImplicitFlow6-coverage.txt,/home/austin/Desktop/analyzeframeworks/ImplicitFlow6_analyzeframeworks_-coverage.txt,12042060,11769543,13846,12971,928,53,280978,8461,142.1234193,7.982075472,10298,224,1,1,5,6
FALSE,/home/austin/Desktop/default/InactiveActivity-coverage.txt,/home/austin/Desktop/analyzeframeworks/InactiveActivity_analyzeframeworks_-coverage.txt,10072676,10068562,4735,4616,123,4,4145,31,23.55113636,1.722222222,394,4,1,1,1.5,3
FALSE,/home/austin/Desktop/default/InheritedObjects1-coverage.txt,/home/austin/Desktop/analyzeframeworks/InheritedObjects1_analyzeframeworks_-coverage.txt,11958283,11727588,14187,13761,486,60,239684,8989,196.6234619,8.061883408,10298,211,1,1,2,5
TRUE,/home/austin/Desktop/default/IntentSink1-coverage.txt,/home/austin/Desktop/analyzeframeworks/IntentSink1_analyzeframeworks_-coverage.txt,11913060,11445039,14823,12463,2364,4,468091,70,109.1375612,3.5,11887,6,1,1,13,9
FALSE,/home/austin/Desktop/default/IntentSink2-coverage.txt,/home/austin/Desktop/analyzeframeworks/IntentSink2_analyzeframeworks_-coverage.txt,11916524,11574336,13536,12516,1028,8,342317,129,152.7518965,5.375,11325,11,1,1,5,1.5
FALSE,/home/austin/Desktop/default/IntentSource1-coverage.txt,/home/austin/Desktop/analyzeframeworks/IntentSource1_analyzeframeworks_-coverage.txt,13007121,13002929,12127,12001,130,4,4356,164,28.47058824,3.215686275,394,39,1,1,1,1
FALSE,/home/austin/Desktop/default/IP1-coverage.txt,/home/austin/Desktop/analyzeframeworks/IP1_analyzeframeworks_-coverage.txt,23177876,22996096,14872,14446,482,56,197412,15632,244.3217822,14.00716846,12935,360,1,1,3,12
FALSE,/home/austin/Desktop/default/JavaIDFunction-coverage.txt,/home/austin/Desktop/analyzeframeworks/JavaIDFunction_analyzeframeworks_-coverage.txt,10447971,10457025,12669,12575,132,38,4578,13632,29.92156863,12,394,454,1,1,1,7.5
FALSE,/home/austin/Desktop/default/JavaThread1-coverage.txt,/home/austin/Desktop/analyzeframeworks/JavaThread1_analyzeframeworks_-coverage.txt,13474816,13355090,15106,14614,616,124,148184,28458,165.1995541,11.27049505,8828,391,1,1,4,5
FALSE,/home/austin/Desktop/default/JavaThread2-coverage.txt,/home/austin/Desktop/analyzeframeworks/JavaThread2_analyzeframeworks_-coverage.txt,13501864,13365176,15166,14626,577,37,152605,15917,129.7661565,8.067410035,8913,332,1,1,6,3
FALSE,/home/austin/Desktop/default/Library2-coverage.txt,/home/austin/Desktop/analyzeframeworks/Library2_analyzeframeworks_-coverage.txt,12413104,12174335,13971,13505,494,28,247695,8926,195.8063241,8.420754717,10786,211,1,1,2,7.5
FALSE,/home/austin/Desktop/default/ListAccess1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ListAccess1_analyzeframeworks_-coverage.txt,11715535,11465764,14742,12481,2265,4,249869,98,67.88073893,5.444444444,8300,9,1,1,9,13.5
FALSE,/home/austin/Desktop/default/Location_Broadcast1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Location_Broadcast1_analyzeframeworks_-coverage.txt,31844537,31260452,15352,13766,1729,143,589710,5625,190.5363489,6.495381062,19210,140,1,1,27,4.5
FALSE,/home/austin/Desktop/default/Location_Service1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Location_Service1_analyzeframeworks_-coverage.txt,20023519,19403134,15498,13732,1847,81,625520,5135,191.1151848,6.864973262,16027,140,1,1,35,4.5
FALSE,/home/austin/Desktop/default/Location1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Location1_analyzeframeworks_-coverage.txt,31814301,31091439,15375,13703,1741,69,728084,5222,232.912348,7.242718447,19524,140,1,1,46.5,4
TRUE,/home/austin/Desktop/default/LocationLeak1-coverage.txt,/home/austin/Desktop/analyzeframeworks/LocationLeak1_analyzeframeworks_-coverage.txt,13349274,12423660,15915,13453,2476,14,929603,3989,208.3377409,5.78115942,11896,120,1,1,73.5,3
TRUE,/home/austin/Desktop/default/LocationLeak2-coverage.txt,/home/austin/Desktop/analyzeframeworks/LocationLeak2_analyzeframeworks_-coverage.txt,12727658,12173223,15571,13445,2195,69,558855,4420,137.1759941,6.278409091,11162,120,1,1,30,4.5
TRUE,/home/austin/Desktop/default/LocationLeak3-coverage.txt,/home/austin/Desktop/analyzeframeworks/LocationLeak3_analyzeframeworks_-coverage.txt,13008442,12443413,15747,13110,2675,38,568206,3177,126.1838774,5.430769231,11968,96,1,1,25,3
FALSE,/home/austin/Desktop/default/LogNoLeak-coverage.txt,/home/austin/Desktop/analyzeframeworks/LogNoLeak_analyzeframeworks_-coverage.txt,11216980,11212766,11740,11633,130,23,4357,143,27.92948718,1.571428571,394,6,1,1,1.5,1
TRUE,/home/austin/Desktop/default/Loop1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Loop1_analyzeframeworks_-coverage.txt,12162147,11823035,15087,13500,1693,106,346748,7636,105.490721,8.746849943,10250,243,1,1,10,3
